Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52879778,A Registry of My Passage Upon the Earth: Stories,Daniel       Mason,"Mason, Daniel",,"=""031647763X""","=""9780316477635""",0,"Little, Brown and Company",Hardcover,240,2020,2020,,2020/11/06,to-read,to-read (#126),to-read,,,,0,0
37651293,Witchfinder,Andrew  Williams,"Williams, Andrew",,"=""""","=""""",0,Hodder & Stoughton,ebook,474,2019,2019,,2020/11/06,to-read,to-read (#125),to-read,,,,0,0
34640995,Being Ecological,Timothy Morton,"Morton, Timothy",,"=""0241274230""","=""9780241274231""",0,Pelican,Mass Market Paperback,230,2018,2018,,2020/11/06,to-read,to-read (#124),to-read,,,,0,0
45448133,The Seep,Chana Porter,"Porter, Chana",,"=""1641290862""","=""9781641290869""",0,Soho Press,Hardcover,203,2020,2020,,2020/11/06,to-read,to-read (#123),to-read,,,,0,0
17333230,The Luminaries,Eleanor Catton,"Catton, Eleanor",,"=""0316074314""","=""9780316074315""",0,"Little, Brown and Company",Hardcover,848,2013,2013,,2020/11/06,to-read,to-read (#122),to-read,,,,0,0
22929721,The Reef: A Passionate History: The Great Barrier Reef from Captain Cook to Climate Change,Iain McCalman,"McCalman, Iain",,"=""0374535345""","=""9780374535346""",0,"Scientific American / Farrar, Straus and Giroux",Paperback,352,2015,2013,,2020/11/06,to-read,to-read (#121),to-read,,,,0,0
41552709,The Uninhabitable Earth: Life After Warming,David Wallace-Wells,"Wallace-Wells, David",,"=""0525576703""","=""9780525576709""",0,Tim Duggan Books,Hardcover,310,2019,2019,,2020/11/06,to-read,to-read (#120),to-read,,,,0,0
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""""","=""""",2,Vintage International,Paperback,467,2006,2002,2020/06/06,2020/05/14,,,read,,,,1,0
51792100,A Burning,Megha Majumdar,"Majumdar, Megha",,"=""0525658696""","=""9780525658696""",0,Knopf Publishing Group,Hardcover,304,2020,2020,,2020/11/04,to-read,to-read (#119),to-read,,,,0,0
298275,Nausea,Jean-Paul Sartre,"Sartre, Jean-Paul","Lloyd Alexander, Hayden Carruth","=""0811201880""","=""9780811201889""",0,New Directions,Hardcover,178,1969,1938,,2020/11/04,to-read,to-read (#118),to-read,,,,0,0
32331524,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted and the Startling Implications for Diet, Weight Loss, and Long-Term Health",T. Colin Campbell,"Campbell, T. Colin",,"=""""","=""""",4,BenBella Books,Kindle Edition,493,2016,2004,2020/11/03,2020/06/20,,,read,ya got a bit boring at the end but lots of good info,,,1,0
51700803,Eat a Peach,David Chang,"Chang, David",Gabe Ulla,"=""152475921X""","=""9781524759216""",0,Clarkson Potter Publishers,Hardcover,290,2020,2020,,2020/09/21,to-read,to-read (#117),to-read,,,,0,0
42270835,The Nickel Boys,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",4,Doubleday,ebook,213,2019,2019,2020/09/06,2020/07/18,,,read,,,,1,0
42519313,Nothing to See Here,Kevin    Wilson,"Wilson, Kevin",,"=""0062913484""","=""9780062913487""",4,Ecco,ebook,288,2019,2019,2020/08/23,2020/07/30,,,read,fire!,,,1,0
50870505,"The Dragons, the Giant, the Women: A Memoir",Wayétu  Moore,"Moore, Wayétu",,"=""""","=""""",0,Graywolf Press,Hardcover,250,2020,2020,,2020/08/20,to-read,to-read (#116),to-read,,,,0,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",5,Scribner,Hardcover,368,2017,2017,2020/08/17,2020/06/09,,,read,yes. now i am afraid of not sleeping and it's hard not to tell everyone to SLEEP,,,1,0
